region_schema,region_parent,region_child,agerange,2020-09-03,2020-09-14,2020-09-23
cn_city,cn,231000,,407,407,407
cn_city,cn,231100,,14,14,14
cn_city,cn,231200,,43,43,43
cn_city,cn,232700,,3,3,3
cn_city,cn,320100,,99,99,103
cn_city,cn,320200,,55,55,56
cn_city,cn,320300,,79,79,79
cn_city,cn,320400,,53,53,53
cn_city,cn,320500,,91,91,91
cn_city,cn,320600,,44,44,44
cn_city,cn,320700,,49,49,55
cn_city,cn,320800,,67,67,67
cn_city,cn,320900,,28,28,28
cn_city,cn,321000,,23,23,23
cn_city,cn,321100,,12,12,12
cn_city,cn,321200,,39,39,39
cn_city,cn,321300,,15,15,15
cn_city,cn,330100,,189,190,194
cn_city,cn,330200,,160,160,160
cn_city,cn,330300,,515,515,515
cn_city,cn,330400,,50,50,50
cn_city,cn,330500,,12,12,12
cn_city,cn,330600,,42,42,42
cn_city,cn,330700,,57,57,57
cn_city,cn,330800,,50,50,50
cn_city,cn,330900,,11,11,11
cn_city,cn,331000,,149,149,149
cn_city,cn,331100,,35,35,35
cn_city,cn,340100,,173,173,173
cn_city,cn,340200,,34,34,34
cn_city,cn,340300,,155,155,155
cn_city,cn,340400,,27,27,27
cn_city,cn,340500,,38,38,38
cn_city,cn,340600,,28,28,28
cn_city,cn,340700,,29,29,29
cn_city,cn,340800,,83,83,83
cn_city,cn,341000,,9,9,9
cn_city,cn,341100,,13,13,13
cn_city,cn,341200,,155,155,155
cn_city,cn,341300,,41,41,41
cn_city,cn,341500,,69,69,69
cn_city,cn,341600,,108,108,108
cn_city,cn,341700,,17,17,17
cn_city,cn,341800,,6,6,6
cn_city,cn,350100,,99,101,102
cn_city,cn,350200,,60,64,67
cn_city,cn,350300,,56,56,56
cn_city,cn,350400,,14,14,14
cn_city,cn,350500,,68,68,68
cn_city,cn,350600,,21,21,21
cn_city,cn,350700,,20,20,20
cn_city,cn,350800,,6,6,6
cn_city,cn,350900,,26,27,27
cn_city,cn,360100,,236,236,236
cn_city,cn,360200,,6,6,6
cn_city,cn,360300,,33,33,33
cn_city,cn,360400,,116,116,116
cn_city,cn,360500,,129,129,129
cn_city,cn,360600,,18,18,18
cn_city,cn,360700,,73,73,73
cn_city,cn,360800,,22,22,22
cn_city,cn,360900,,106,106,106
cn_city,cn,361000,,72,72,72
cn_city,cn,361100,,123,123,123
cn_city,cn,370100,,59,61,61
cn_city,cn,370200,,95,97,99
cn_city,cn,370300,,29,29,29
cn_city,cn,370400,,24,24,24
cn_city,cn,370600,,48,48,48
cn_city,cn,370700,,44,44,44
cn_city,cn,370800,,260,260,260
cn_city,cn,370900,,33,33,33
cn_city,cn,371000,,37,37,37
cn_city,cn,371100,,19,19,19
cn_city,cn,371300,,50,50,50
cn_city,cn,371400,,37,37,37
cn_city,cn,371500,,38,38,38
cn_city,cn,371600,,15,15,15
cn_city,cn,371700,,18,18,18
cn_city,cn,410100,,154,154,154
cn_city,cn,410200,,26,26,26
cn_city,cn,410300,,31,31,31
cn_city,cn,410400,,57,57,57
cn_city,cn,410500,,53,53,53
cn_city,cn,410600,,19,19,19
cn_city,cn,410700,,54,54,54
cn_city,cn,410800,,31,31,31
cn_city,cn,410900,,17,17,17
cn_city,cn,411000,,38,38,38
cn_city,cn,411100,,36,36,36
cn_city,cn,411200,,6,6,6
cn_city,cn,411300,,153,153,153
cn_city,cn,411400,,88,88,88
cn_city,cn,411500,,272,272,272
cn_city,cn,411600,,75,75,75
cn_city,cn,411700,,139,139,139
cn_city,cn,419001,,5,5,5
cn_city,cn,420100,,46475,46475,46475
cn_city,cn,420200,,976,976,976
cn_city,cn,420300,,664,664,664
cn_city,cn,420500,,894,894,894
cn_city,cn,420600,,1135,1135,1135
cn_city,cn,420700,,1335,1335,1335
cn_city,cn,420800,,887,887,887
cn_city,cn,420900,,3389,3389,3389
cn_city,cn,421000,,1528,1528,1528
cn_city,cn,421100,,2782,2782,2782
cn_city,cn,421200,,821,821,821
cn_city,cn,421300,,1262,1262,1262
cn_city,cn,422800,,245,245,245
cn_city,cn,429004,,553,553,553
cn_city,cn,429005,,189,189,189
cn_city,cn,429006,,481,481,481
cn_city,cn,429021,,11,11,11
cn_city,cn,430100,,240,240,240
cn_city,cn,430200,,80,80,80
cn_city,cn,430300,,36,36,36
cn_city,cn,430400,,48,48,48
cn_city,cn,430500,,101,101,101
cn_city,cn,430600,,155,155,155
cn_city,cn,430700,,82,82,82
cn_city,cn,430800,,5,5,5
cn_city,cn,430900,,60,60,60
cn_city,cn,431000,,40,40,40
cn_city,cn,431100,,44,44,44
cn_city,cn,431200,,40,40,40
cn_city,cn,431300,,76,76,76
cn_city,cn,433100,,8,8,8
cn_city,cn,440100,,635,662,687
cn_city,cn,440200,,9,9,9
cn_city,cn,440300,,462,464,466
cn_city,cn,440400,,107,109,109
cn_city,cn,440500,,26,26,26
cn_city,cn,440600,,100,100,100
cn_city,cn,440700,,24,24,24
cn_city,cn,440800,,24,24,24
cn_city,cn,440900,,14,14,14
cn_city,cn,441200,,19,19,19
cn_city,cn,441300,,62,62,62
cn_city,cn,441400,,17,17,17
cn_city,cn,441500,,6,6,6
cn_city,cn,441600,,5,5,5
cn_city,cn,441700,,14,14,14
cn_city,cn,441800,,12,12,12
cn_city,cn,441900,,99,99,99
cn_city,cn,442000,,69,69,69
cn_city,cn,445100,,7,7,7
cn_city,cn,445200,,11,11,11
cn_city,cn,450100,,55,55,55
cn_city,cn,450200,,24,24,24
cn_city,cn,450300,,32,32,32
cn_city,cn,450400,,5,5,5
cn_city,cn,450500,,43,43,43
cn_city,cn,450600,,19,19,19
cn_city,cn,450700,,8,8,8
cn_city,cn,450800,,8,8,8
cn_city,cn,450900,,11,11,11
cn_city,cn,451000,,3,3,3
cn_city,cn,451100,,4,4,4
cn_city,cn,451200,,27,27,27
cn_city,cn,451300,,11,11,11
cn_city,cn,460100,,39,39,39
cn_city,cn,460200,,56,56,56
cn_city,cn,460400,,14,14,14
cn_city,cn,469002,,5,5,5
cn_city,cn,469005,,3,3,3
cn_city,cn,469006,,13,13,13
cn_city,cn,469007,,2,2,2
cn_city,cn,469021,,2,2,2
cn_city,cn,469023,,8,8,8
cn_city,cn,469024,,6,6,6
cn_city,cn,469026,,7,7,7
cn_city,cn,469027,,2,2,2
cn_city,cn,469028,,4,4,4
cn_city,cn,469029,,3,3,3
cn_city,cn,469030,,1,1,1
cn_city,cn,510100,,235,251,259
cn_city,cn,510300,,9,9,9
cn_city,cn,510400,,16,16,16
cn_city,cn,510500,,24,24,24
cn_city,cn,510600,,18,18,18
cn_city,cn,510700,,22,22,22
cn_city,cn,510800,,6,6,6
cn_city,cn,510900,,17,17,17
cn_city,cn,511000,,22,22,22
cn_city,cn,511100,,3,3,3
cn_city,cn,511300,,39,39,39
cn_city,cn,511400,,8,8,8
cn_city,cn,511500,,12,12,12
cn_city,cn,511600,,30,30,30
cn_city,cn,511700,,42,42,42
cn_city,cn,511800,,8,8,8
cn_city,cn,511900,,24,24,24
cn_city,cn,512000,,4,4,4
cn_city,cn,513200,,1,1,1
cn_city,cn,513300,,78,78,78
cn_city,cn,513400,,14,14,14
cn_city,cn,520100,,36,36,36
cn_city,cn,520200,,9,9,9
cn_city,cn,520300,,32,32,32
cn_city,cn,520400,,4,4,4
cn_city,cn,520500,,23,23,23
cn_city,cn,520600,,10,10,10
cn_city,cn,522300,,4,4,4
cn_city,cn,522600,,10,10,10
cn_city,cn,522700,,17,17,17
cn_city,cn,530100,,71,75,76
cn_city,cn,530300,,13,13,13
cn_city,cn,530400,,13,13,13
cn_city,cn,530500,,9,9,9
cn_city,cn,530600,,25,25,25
cn_city,cn,530700,,8,8,8
cn_city,cn,530800,,4,4,4
cn_city,cn,530900,,1,1,1
cn_city,cn,532300,,4,4,4
cn_city,cn,532500,,9,9,9
cn_city,cn,532600,,2,2,2
cn_city,cn,532800,,14,14,14
cn_city,cn,532900,,13,13,13
cn_city,cn,533100,,5,5,5
cn_city,cn,540100,,1,1,1
cn_city,cn,610100,,232,242,246
cn_city,cn,610200,,8,8,8
cn_city,cn,610300,,13,13,13
cn_city,cn,610400,,20,20,20
cn_city,cn,610500,,16,16,16
cn_city,cn,610600,,8,8,8
cn_city,cn,610700,,26,26,26
cn_city,cn,610800,,4,4,4
cn_city,cn,610900,,26,26,26
cn_city,cn,611000,,7,7,7
cn_city,cn,620100,,107,108,108
cn_city,cn,620300,,1,1,1
cn_city,cn,620400,,4,4,4
cn_city,cn,620500,,12,12,12
cn_city,cn,620700,,2,2,2
cn_city,cn,620800,,9,9,9
cn_city,cn,621000,,3,3,3
cn_city,cn,621100,,9,9,9
cn_city,cn,621200,,4,4,4
cn_city,cn,622900,,8,8,8
cn_city,cn,623000,,8,8,8
cn_city,cn,630100,,15,15,15
cn_city,cn,632200,,3,3,3
cn_city,cn,640100,,37,37,37
cn_city,cn,640200,,1,1,1
cn_city,cn,640300,,28,28,28
cn_city,cn,640400,,5,5,5
cn_city,cn,640500,,4,4,4
cn_city,cn,650100,,832,848,848
cn_city,cn,650400,,3,3,3
cn_city,cn,652300,,5,5,5
cn_city,cn,652800,,3,3,3
cn_city,cn,652900,,1,1,1
cn_city,cn,653100,,2,2,2
cn_city,cn,654000,,18,18,18
cn_city,cn,654200,,4,4,4
cn_city,cn,659001,,3,3,3
cn_city,cn,659004,,2,2,2
cn_city,cn,659008,,9,9,9
cn_city,cn,820000,,46,46,46
